web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237294-2175","https://www.atptour.com/en/rankings/singles","Marin Cilic","https://www.atptour.com/en/players/marin-cilic/c977/overview","Player Stats","https://www.atptour.com/en/players/marin-cilic/c977/player-stats","77%"
"1613237069-322","https://www.atptour.com/en/rankings/singles","Federico Coria","https://www.atptour.com/en/players/federico-coria/ce77/overview","Player Stats","https://www.atptour.com/en/players/federico-coria/ce77/player-stats","Service Games Won"
"1613237391-2985","https://www.atptour.com/en/rankings/singles","Cristian Garin","https://www.atptour.com/en/players/cristian-garin/gd64/overview","Player Stats","https://www.atptour.com/en/players/cristian-garin/gd64/player-stats","62%"
"1613237409-3137","https://www.atptour.com/en/rankings/singles","Stan Wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","Player Stats","https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats","65%"
"1613237267-1951","https://www.atptour.com/en/rankings/singles","Jordan Thompson","https://www.atptour.com/en/players/jordan-thompson/tc61/overview","Player Stats","https://www.atptour.com/en/players/jordan-thompson/tc61/player-stats","950"
"1613237350-2645","https://www.atptour.com/en/rankings/singles","Taylor Fritz","https://www.atptour.com/en/players/taylor-fritz/fb98/overview","Player Stats","https://www.atptour.com/en/players/taylor-fritz/fb98/player-stats","1st Serve Return Points Won"
"1613237157-1029","https://www.atptour.com/en/rankings/singles","Ricardas Berankis","https://www.atptour.com/en/players/ricardas-berankis/be90/overview","Player Stats","https://www.atptour.com/en/players/ricardas-berankis/be90/player-stats","946"
"1613237339-2578","https://www.atptour.com/en/rankings/singles","Filip Krajinovic","https://www.atptour.com/en/players/filip-krajinovic/kb05/overview","Player Stats","https://www.atptour.com/en/players/filip-krajinovic/kb05/player-stats","1,825"
"1613237166-1105","https://www.atptour.com/en/rankings/singles","Corentin Moutet","https://www.atptour.com/en/players/corentin-moutet/mw02/overview","Player Stats","https://www.atptour.com/en/players/corentin-moutet/mw02/player-stats","127"
"1613237248-1795","https://www.atptour.com/en/rankings/singles","Tommy Paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","Player Stats","https://www.atptour.com/en/players/tommy-paul/pl56/player-stats","69%"
