service-record,return-record,lastname,ranking,age,turnedpro,weight,height
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""4,660""},{""service-record"":""Double Faults""},{""service-record"":""2,023""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""73%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""4,815""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""10,378""},{""service-record"":""Service Games Won""},{""service-record"":""82%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""6,172""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""10,210""},{""return-record"":""Return Games Won""},{""return-record"":""25%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]",Gasquet,"Singles
                                Ranking


                            
                        
                        
48                        
                    
                        
                            
                                
                            
                            FRA","34                                        
                                            
                                                (1986.06.18)",2002,174,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""155""},{""service-record"":""Double Faults""},{""service-record"":""67""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""247""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""399""},{""service-record"":""Service Games Won""},{""service-record"":""77%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""209""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""406""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Giron,"Singles
                                Ranking


                            
                        
                        
75                        
                    
                        
                            
                                
                            
                            USA","27                                        
                                            
                                                (1993.07.24)",2014,170,"5'11"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,116""},{""service-record"":""Double Faults""},{""service-record"":""728""},{""service-record"":""1st Serve""},{""service-record"":""57%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,692""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""3,136""},{""service-record"":""Service Games Won""},{""service-record"":""78%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,615""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""3,170""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Bedene,"Singles
                                Ranking


                            
                        
                        
57                        
                    
                        
                            
                                
                            
                            SLO","31                                        
                                            
                                                (1989.07.18)",2008,161,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,596""},{""service-record"":""Double Faults""},{""service-record"":""1,077""},{""service-record"":""1st Serve""},{""service-record"":""56%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""76%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,812""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""3,663""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,853""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""3,668""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Struff,"Singles
                                Ranking


                            
                        
                        
37                        
                    
                        
                            
                                
                            
                            GER","30                                        
                                            
                                                (1990.04.25)",2009,202,"6'4"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,688""},{""service-record"":""Double Faults""},{""service-record"":""769""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,289""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""2,549""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,095""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""2,536""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Herbert,"Singles
                                Ranking


                            
                        
                        
84                        
                    
                        
                            
                                
                            
                            FRA","29                                        
                                            
                                                (1991.03.18)",2010,165,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""3,665""},{""service-record"":""Double Faults""},{""service-record"":""1,914""},{""service-record"":""1st Serve""},{""service-record"":""57%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""6,220""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""10,423""},{""service-record"":""Service Games Won""},{""service-record"":""76%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""53%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""6,541""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""10,331""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""40%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Simon,"Singles
                                Ranking


                            
                        
                        
66                        
                    
                        
                            
                                
                            
                            FRA","36                                        
                                            
                                                (1984.12.27)",2002,154,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""209""},{""service-record"":""Double Faults""},{""service-record"":""120""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""67%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""327""},{""service-record"":""Break Points Saved""},{""service-record"":""56%""},{""service-record"":""Service Games Played""},{""service-record"":""544""},{""service-record"":""Service Games Won""},{""service-record"":""74%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""256""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""541""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]",Novak,"Singles
                                Ranking


                            
                        
                        
98                        
                    
                        
                            
                                
                            
                            AUT","27                                        
                                            
                                                (1993.08.28)",2011,176,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""519""},{""service-record"":""Double Faults""},{""service-record"":""359""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""774""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""1,305""},{""service-record"":""Service Games Won""},{""service-record"":""76%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""713""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""1,311""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Djere,"Singles
                                Ranking


                            
                        
                        
56                        
                    
                        
                            
                                
                            
                            SRB","25                                        
                                            
                                                (1995.06.02)",2013,181,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""554""},{""service-record"":""Double Faults""},{""service-record"":""373""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""71%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""910""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""1,749""},{""service-record"":""Service Games Won""},{""service-record"":""80%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,020""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""1,761""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",de Minaur,"Singles
                                Ranking


                            
                        
                        
23                        
                    
                        
                            
                                
                            
                            AUS","21                                        
                                            
                                                (1999.02.17)",2015,152,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""614""},{""service-record"":""Double Faults""},{""service-record"":""252""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""75%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""524""},{""service-record"":""Break Points Saved""},{""service-record"":""65%""},{""service-record"":""Service Games Played""},{""service-record"":""1,074""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""534""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""1,056""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Humbert,"Singles
                                Ranking


                            
                        
                        
34                        
                    
                        
                            
                                
                            
                            FRA","22                                        
                                            
                                                (1998.06.26)",2016,160,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,031""},{""service-record"":""Double Faults""},{""service-record"":""1,150""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,170""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""5,318""},{""service-record"":""Service Games Won""},{""service-record"":""76%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,864""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""5,350""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Mannarino,"Singles
                                Ranking


                            
                        
                        
36                        
                    
                        
                            
                                
                            
                            FRA","32                                        
                                            
                                                (1988.06.29)",2004,174,"5'11"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""11,344""},{""service-record"":""Double Faults""},{""service-record"":""2,742""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""77%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""57%""},{""service-record"":""Break Points Faced""},{""service-record"":""6,367""},{""service-record"":""Break Points Saved""},{""service-record"":""67%""},{""service-record"":""Service Games Played""},{""service-record"":""18,630""},{""service-record"":""Service Games Won""},{""service-record"":""89%""},{""service-record"":""Total Service Points Won""},{""service-record"":""70%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""33%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""11,822""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""18,229""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""40%""},{""return-record"":""Total Points Won""},{""return-record"":""54%""}]",Federer,"Singles
                                Ranking


                            
                        
                        
5                        
                    
                        
                            
                                
                            
                            SUI","39                                        
                                            
                                                (1981.08.08)",1998,187,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""3,967""},{""service-record"":""Double Faults""},{""service-record"":""2,266""},{""service-record"":""1st Serve""},{""service-record"":""52%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""75%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""46%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,664""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""5,806""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,461""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""5,815""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Paire,"Singles
                                Ranking


                            
                        
                        
29                        
                    
                        
                            
                                
                            
                            FRA","31                                        
                                            
                                                (1989.05.08)",2007,176,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""93""},{""service-record"":""Double Faults""},{""service-record"":""111""},{""service-record"":""1st Serve""},{""service-record"":""66%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""64%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""282""},{""service-record"":""Break Points Saved""},{""service-record"":""55%""},{""service-record"":""Service Games Played""},{""service-record"":""414""},{""service-record"":""Service Games Won""},{""service-record"":""69%""},{""service-record"":""Total Service Points Won""},{""service-record"":""58%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""242""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""414""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Ymer,"Singles
                                Ranking


                            
                        
                        
95                        
                    
                        
                            
                                
                            
                            SWE","22                                        
                                            
                                                (1998.09.09)",2015,165,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""7,188""},{""service-record"":""Double Faults""},{""service-record"":""1,705""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""77%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,947""},{""service-record"":""Break Points Saved""},{""service-record"":""66%""},{""service-record"":""Service Games Played""},{""service-record"":""7,504""},{""service-record"":""Service Games Won""},{""service-record"":""87%""},{""service-record"":""Total Service Points Won""},{""service-record"":""68%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,400""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""7,423""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Anderson,"Singles
                                Ranking


                            
                        
                        
81                        
                    
                        
                            
                                
                            
                            RSA","34                                        
                                            
                                                (1986.05.18)",2007,208,"6'8"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""67""},{""service-record"":""Double Faults""},{""service-record"":""106""},{""service-record"":""1st Serve""},{""service-record"":""67%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""63%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""343""},{""service-record"":""Break Points Saved""},{""service-record"":""56%""},{""service-record"":""Service Games Played""},{""service-record"":""468""},{""service-record"":""Service Games Won""},{""service-record"":""68%""},{""service-record"":""Total Service Points Won""},{""service-record"":""58%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""33%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""296""},{""return-record"":""Break Points Converted""},{""return-record"":""42%""},{""return-record"":""Return Games Played""},{""return-record"":""466""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Davidovich Fokina,"Singles
                                Ranking


                            
                        
                        
54                        
                    
                        
                            
                                
                            
                            ESP","21                                        
                                            
                                                (1999.06.05)",2019,176,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""4,526""},{""service-record"":""Double Faults""},{""service-record"":""1,712""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""54%""},{""service-record"":""Break Points Faced""},{""service-record"":""4,864""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""9,785""},{""service-record"":""Service Games Won""},{""service-record"":""82%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""5,462""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""9,881""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Kohlschreiber,"Singles
                                Ranking


                            
                        
                        
100                        
                    
                        
                            
                                
                            
                            GER","37                                        
                                            
                                                (1983.10.16)",2001,154,"5'10"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,069""},{""service-record"":""Double Faults""},{""service-record"":""265""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""78%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""54%""},{""service-record"":""Break Points Faced""},{""service-record"":""656""},{""service-record"":""Break Points Saved""},{""service-record"":""66%""},{""service-record"":""Service Games Played""},{""service-record"":""1,628""},{""service-record"":""Service Games Won""},{""service-record"":""86%""},{""service-record"":""Total Service Points Won""},{""service-record"":""68%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""816""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""1,631""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Berrettini,"Singles
                                Ranking


                            
                        
                        
10                        
                    
                        
                            
                                
                            
                            ITA","24                                        
                                            
                                                (1996.04.12)",2015,209,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""551""},{""service-record"":""Double Faults""},{""service-record"":""315""},{""service-record"":""1st Serve""},{""service-record"":""66%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""846""},{""service-record"":""Break Points Saved""},{""service-record"":""56%""},{""service-record"":""Service Games Played""},{""service-record"":""1,499""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""690""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""1,491""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]",Cecchinato,"Singles
                                Ranking


                            
                        
                        
82                        
                    
                        
                            
                                
                            
                            ITA","28                                        
                                            
                                                (1992.09.30)",2010,173,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""8,374""},{""service-record"":""Double Faults""},{""service-record"":""2,216""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""79%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,504""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""8,604""},{""service-record"":""Service Games Won""},{""service-record"":""85%""},{""service-record"":""Total Service Points Won""},{""service-record"":""67%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""4,005""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""8,483""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Querrey,"Singles
                                Ranking


                            
                        
                        
52                        
                    
                        
                            
                                
                            
                            USA","33                                        
                                            
                                                (1987.10.07)",2006,209,"6'6"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,689""},{""service-record"":""Double Faults""},{""service-record"":""646""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,768""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""3,538""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""50%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,900""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""3,563""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Coric,"Singles
                                Ranking


                            
                        
                        
25                        
                    
                        
                            
                                
                            
                            CRO","24                                        
                                            
                                                (1996.11.14)",2013,187,"6'2"""
