,Last Name,Ranking,Age,Turned Pro,Weight,Height,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
61,Federer,5,39,1998,187,"6'1""",33%,51%,"11,822",41%,"18,229",27%,40%,54%,"11,344","2,742",62%,77%,57%,"6,367",67%,"18,630",89%,70%
62,Paire,29,31,2007,176,"6'5""",31%,49%,"3,461",40%,"5,815",24%,38%,49%,"3,967","2,266",52%,75%,46%,"3,664",60%,"5,806",75%,61%
63,Ymer,95,22,2015,165,"6'0""",31%,50%,242,42%,414,24%,38%,49%,93,111,66%,64%,48%,282,55%,414,69%,58%
64,Anderson,81,34,2007,208,"6'8""",26%,47%,"3,400",36%,"7,423",16%,34%,51%,"7,188","1,705",65%,77%,53%,"2,947",66%,"7,504",87%,68%
65,Davidovich Fokina,54,21,2019,176,"6'0""",33%,51%,296,42%,466,27%,39%,49%,67,106,67%,63%,48%,343,56%,468,68%,58%
66,Kohlschreiber,100,37,2001,154,"5'10""",29%,50%,"5,462",40%,"9,881",22%,37%,51%,"4,526","1,712",60%,72%,54%,"4,864",63%,"9,785",82%,65%
67,Berrettini,10,24,2015,209,"6'5""",28%,47%,816,35%,"1,631",18%,35%,51%,"1,069",265,62%,78%,54%,656,66%,"1,628",86%,68%
68,Cecchinato,82,28,2010,173,"6'1""",26%,47%,690,36%,"1,491",16%,34%,48%,551,315,66%,68%,49%,846,56%,"1,499",75%,61%
69,Querrey,52,33,2006,209,"6'6""",27%,46%,"4,005",37%,"8,483",18%,34%,51%,"8,374","2,216",59%,79%,50%,"3,504",63%,"8,604",85%,67%
70,Coric,25,24,2013,187,"6'2""",27%,50%,"1,900",39%,"3,563",21%,36%,50%,"1,689",646,62%,72%,53%,"1,768",62%,"3,538",81%,65%
71,Medvedev,4,24,2014,182,"6'6""",30%,53%,"1,850",40%,"2,964",25%,39%,52%,"1,914",836,60%,74%,52%,"1,408",62%,"2,953",82%,65%
72,Auger-Aliassime,19,20,2017,194,"6'4""",29%,47%,704,38%,"1,375",20%,36%,51%,988,506,64%,74%,50%,744,64%,"1,395",81%,65%
73,Berankis,73,30,2007,170,"5'9""",27%,49%,"1,375",37%,"2,619",19%,36%,49%,946,735,56%,71%,51%,"1,468",59%,"2,586",77%,62%
74,Caruso,78,28,2010,176,"6'1""",28%,51%,307,39%,533,22%,37%,48%,147,127,60%,66%,49%,369,59%,527,72%,59%
75,Kecmanovic,41,21,2017,165,"6'0""",27%,52%,499,40%,923,22%,37%,50%,336,196,59%,71%,53%,530,64%,924,79%,64%
76,Sandgren,51,29,2011,195,"6'2""",26%,47%,601,37%,"1,323",17%,34%,49%,870,261,61%,74%,49%,700,63%,"1,328",80%,64%
77,Thompson,49,26,2013,181,"6'0""",28%,49%,879,38%,"1,656",20%,36%,49%,750,303,64%,70%,49%,950,61%,"1,673",78%,63%
78,Pouille,76,26,2012,185,"6'1""",27%,48%,"1,478",39%,"2,998",19%,35%,50%,"1,780",844,56%,73%,51%,"1,578",63%,"3,010",81%,64%
79,Martinez,87,23,2016,168,"6'1""",31%,52%,163,41%,262,26%,39%,49%,40,90,67%,65%,43%,202,61%,264,70%,58%
80,Ramos-Vinolas,46,33,2007,168,"6'2""",29%,50%,"3,129",40%,"5,532",23%,37%,50%,"1,579","1,159",62%,68%,52%,"3,322",61%,"5,482",76%,62%
81,Harris,91,23,2015,176,"6'4""",26%,46%,268,40%,609,17%,34%,49%,478,127,63%,73%,46%,332,58%,605,77%,63%
82,Ruud,28,22,2015,170,"6'0""",27%,49%,670,39%,"1,219",22%,36%,50%,449,261,66%,70%,52%,639,63%,"1,238",81%,64%
83,Garin,22,24,2011,187,"6'1""",30%,50%,667,40%,"1,136",23%,37%,50%,404,290,61%,70%,49%,676,60%,"1,134",76%,62%
84,Sonego,35,25,2013,168,"6'3""",27%,46%,466,35%,"1,032",16%,34%,49%,512,172,63%,73%,51%,511,63%,"1,033",82%,65%
85,Goffin,15,30,2009,154,"5'11""",31%,53%,"3,569",41%,"5,352",28%,40%,51%,"2,340","1,518",58%,71%,51%,"2,972",60%,"5,300",77%,63%
86,Sinner,32,19,2018,167,"6'2""",33%,51%,403,43%,650,27%,40%,51%,212,112,61%,71%,52%,371,64%,652,79%,63%
87,Verdasco,67,37,2001,198,"6'2""",30%,51%,"7,214",40%,"12,155",24%,38%,51%,"5,310","3,794",67%,71%,51%,"6,359",63%,"12,131",80%,64%
88,Lajovic,27,30,2007,183,"6'0""",28%,48%,"1,800",40%,"3,477",20%,36%,49%,"1,087",520,66%,68%,52%,"1,960",60%,"3,465",77%,63%
89,Balazs,94,32,2006,172,"5'11""",30%,48%,180,39%,346,21%,37%,49%,88,123,58%,67%,52%,237,66%,351,77%,61%
90,Monfils,11,34,2004,187,"6'4""",32%,49%,"5,782",41%,"9,464",25%,39%,51%,"6,211","2,692",62%,73%,50%,"4,746",62%,"9,466",81%,64%
91,Cuevas,72,35,2004,173,"5'11""",29%,48%,"2,598",40%,"4,935",21%,37%,50%,"2,371","1,126",60%,72%,52%,"2,624",61%,"4,896",79%,64%
92,Coria,92,28,2010,161,"5'11""",31%,54%,141,43%,242,25%,39%,48%,47,38,69%,62%,46%,198,59%,236,66%,57%
93,Monteiro,74,26,2011,172,"6'0""",25%,47%,564,39%,"1,236",18%,34%,49%,459,228,65%,71%,51%,667,61%,"1,236",79%,64%
94,Kwon,97,23,2015,159,"5'11""",28%,50%,244,35%,423,20%,37%,49%,139,102,62%,69%,51%,242,61%,416,77%,62%
95,Albot,85,31,2008,152,"5'9""",29%,51%,"1,246",37%,"2,035",23%,37%,49%,435,488,64%,65%,50%,"1,315",57%,"2,036",72%,60%
96,Djokovic,1,33,2003,170,"6'2""",34%,55%,"9,509",44%,"13,169",32%,42%,54%,"5,882","2,486",65%,74%,55%,"5,574",65%,"13,544",86%,67%
97,Carballes Baena,99,27,2011,170,"6'0""",30%,51%,771,44%,"1,389",24%,38%,50%,335,368,62%,67%,49%,892,59%,"1,372",73%,60%
98,Cilic,43,32,2005,196,"6'6""",30%,50%,"5,652",39%,"9,602",23%,38%,52%,"6,844","2,237",57%,77%,53%,"4,385",64%,"9,711",84%,66%
99,Evans,26,30,2006,165,"5'9""",30%,50%,"1,028",42%,"1,793",24%,38%,50%,628,433,61%,71%,51%,"1,025",61%,"1,772",77%,63%
